# Source: GSI Datasets | Cite as: Gruffydd-Jones, J. (2026). GSI Datasets. https://github.com/jjgj/gsi-datasets | Build: 2026-06-23
publication,ID,Date,Newspaper,Headline,snippet,sent_score
Xinhua,1,2022-02-12,Xinhua,"China, Netherlands to enhance ties, cooperation","BEIJING, Feb. 11 (Xinhua) -- China and the Netherlands should take the opportunity of 50th anniversary of diplomatic ties to boost bilateral relations and cooperation, Chinese State Councilor and Foreign Minister Wang Yi",0.266
Xinhua,2,2022-04-01,Xinhua,Xinhua Commentary: Security vision advocated by Xi offers Chinese solution to global peace,"BEIJING, April 1 (Xinhua) -- Peace and development, the theme of our times, are facing grave challenges, with the Ukraine crisis lingering and rifts among major countries widening. When the global peace deficit keeps enl",0.083
Xinhua,3,2022-04-08,Xinhua,Chinese FM holds phone talks with French president's diplomatic counselor,"BEIJING, April 7 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi on Thursday held a phone conversation with Emmanuel Bonne, diplomatic counselor to French President Emmanuel Macron, at the latter's reque",0.079
Xinhua,4,2022-04-08,Xinhua,1st LD Writethru: Chinese FM holds phone talks with French president's diplomatic counselor,"BEIJING, April 7 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi on Thursday held a phone conversation with Emmanuel Bonne, diplomatic counselor to French President Emmanuel Macron, at the latter's reque",0.047
MFA,1,2022-04-21,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Wang Wenbin's Regular Press Conference on April 21 2022,CCTV: President Xi Jinping proposed the Global Security Initiative at the opening ceremony of the Boao Forum for Asia Annual Conference 2022. What is the significance of putting forward the Initiative at this moment? Is ,0.03
MFA,2,2022-04-21,Ministry of Foreign Affairs of the People's Republic of China - News (English),Xi Jinping Delivers a Keynote Speech at the Opening Ceremony of the Boao Forum for Asia Annual Conference 2022,"Proposing a Global Security Initiative, and stressing that humanity is a community with a shared future where all people rise and fall together, and all countries need to stay confident and united and build a bright futu",0.157
MFA,3,2022-04-21,Ministry of Foreign Affairs of the People's Republic of China - News (English),Rising to Challenges and Building a Bright Future Through Cooperation,"Keynote Speech by H.E. Xi Jinping President of the People's Republic of China At the Opening Ceremony of the Boao Forum for Asia Annual Conference 2022 Beijing, 21 April 2022 Your Excellencies Heads of State and Governm",0.136
Xinhua,5,2022-04-21,Xinhua,1st LD-Writethru-Xi Focus: Xi proposes Global Security Initiative,"BEIJING, April 21 (Xinhua) -- Chinese President Xi Jinping on Thursday proposed a Global Security Initiative to promote security for all in the world. Xi put forward the initiative while delivering a keynote speech via v",0.083
Xinhua,6,2022-04-21,Xinhua,Xi proposes Global Security Initiative,"BEIJING, April 21 (Xinhua) -- Chinese President Xi Jinping on Thursday proposed a Global Security Initiative to promote security for all in the world. Xi put forward the initiative while delivering a keynote speech via v",0.034
Xinhua,7,2022-04-21,Xinhua,Xi Jinping delivers keynote speech at opening ceremony of Boao Forum for Asia Annual Conference 2022,"Proposing a Global Security Initiative, and stressing that humanity is a community with a shared future where all people rise and fall together, and all countries need to stay confident and united and build a bright futu",0.177
