# Source: GSI Datasets | Cite as: Gruffydd-Jones, J. (2026). GSI Datasets. https://github.com/jjgj/gsi-datasets | Build: 2026-06-23
country,year,Forum,Language Used,Joint statement,Ranking,Implement,Level of public support,Any positivity,China ally level,China_level,China_ally,OECD country or not,China's neighbor or not,BRICS or not,US ally RAND,US arms 2022,China arms 2022,Vdem,EDI,Unnamed: 20,country.1
Afghanistan,,,,0,0,Not join,,,Strategic cooperative partnership,3.0,1.0,No,Yes,No,1,0.0,0.0,Closed Autocracy,0.32,,Afghanistan
Albania,,,,0,0,Not join,,,,0.0,0.0,No,No,No,1,0.0,0.0,Electoral Democracy,6.41,,Albania
Algeria,2025.0,FOCAC,"""Supports"" ",0,2,Not join,Bilateral support,1.0,Comprehensive strategic partnership,4.0,1.0,No,No,No,0,32.0,138.0,Electoral Autocracy,3.55,,Algeria
Andorra,,,,0,0,Not join,,,,0.0,0.0,No,No,No,0,0.0,0.0,,,,Andorra
Angola,2024.0,Joint Statement,"""Supports""",1,2,Not join,Bilateral support,1.0,Comprehensive Strategic Partnership ,4.0,1.0,No,No,No,0,0.0,0.0,Electoral Autocracy,4.05,,Angola
Antigua and Barbuda,2025.0,Joint Statement,"""Supports""",1,2,Not join,Bilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,,,,Antigua and Barbuda
Argentina,2023.0,Bilateral meeting,"""Are valuable""",0,1,Not join,Noncommittal,1.0,Comprehensive strategic partnership,4.0,1.0,No,No,Yes,1,15.0,0.0,Electoral Democracy,6.62,,Argentina
Armenia,2023.0,Bilateral meeting,"""Spoke highly of""",0,2,Not join,Noncommittal,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Electoral Democracy,5.42,,Armenia
Australia,,,,0,0,Not join,,,Comprehensive strategic partnership,4.0,1.0,Yes,No,No,1,789.0,0.0,Liberal Democracy,8.71,,Australia
Austria,,,,0,0,Not join,,,(Friendy) Strategic partnership,2.0,1.0,Yes,No,No,0,1.0,0.0,Liberal Democracy,8.2,,Austria
